OldData,Expt,OchStrain,Light,Rice,Rep,Plating.Date,CountDate,AreaCounted,DilutionFactor,CFUs,CountDate,AreaCounted,CFUs,Notes,CFUpmL
Y,1,1392,25,Rice,C,5 Nov 2021,9 Nov 2021,whole,"10,000",89,12 Nov 2021,whole,191,not using data; incorrect dilution mixing,19100000
Y,1,1392,25,Rice,B,5 Nov 2021,9 Nov 2021,whole,"10,000",46,12 Nov 2021,whole,98,not using data; incorrect dilution mixing,9800000
Y,1,1392,25,Rice,A,5 Nov 2021,9 Nov 2021,whole,"10,000",16,12 Nov 2021,whole,54,not using data; incorrect dilution mixing,5400000
Y,1,1392,25,Xenic,C,5 Nov 2021,9 Nov 2021,whole,"1,000",33,12 Nov 2021,whole,44,not using data; incorrect dilution mixing,440000
Y,1,1392,25,Xenic,B,5 Nov 2021,9 Nov 2021,whole,"1,000",34,12 Nov 2021,whole,50,not using data; incorrect dilution mixing,500000
Y,1,1392,25,Xenic,A,5 Nov 2021,9 Nov 2021,whole,"1,000",23,12 Nov 2021,whole,37,not using data; incorrect dilution mixing,370000
Y,1,1392,150,Xenic,C,5 Nov 2021,9 Nov 2021,whole,"1,000",50,12 Nov 2021,whole,72,not using data; incorrect dilution mixing,720000
Y,1,1392,150,Xenic,B,5 Nov 2021,9 Nov 2021,whole,"1,000",57,12 Nov 2021,whole,76,not using data; incorrect dilution mixing,760000
Y,1,1392,150,Xenic,A,5 Nov 2021,9 Nov 2021,whole,"1,000",26,12 Nov 2021,whole,45,not using data; incorrect dilution mixing,450000
Y,1,1392,150,Rice,C,5 Nov 2021,9 Nov 2021,whole,"10,000",58,12 Nov 2021,whole,119,not using data; incorrect dilution mixing,11900000
Y,1,1392,150,Rice,B,5 Nov 2021,9 Nov 2021,whole,"10,000",46,12 Nov 2021,whole,79,not using data; incorrect dilution mixing,7900000
Y,1,1392,150,Rice,A,5 Nov 2021,9 Nov 2021,whole,"10,000",20,12 Nov 2021,whole,40,not using data; incorrect dilution mixing,4000000
Y,1,590,25,Xenic,B,5 Nov 2021,9 Nov 2021,quarter,"1,000","2,148",,,,not using data; plate got contaminated,0
,2,1148,25,Rice,A,8 Nov 2021,16 Nov 2021,whole,"10,000",64,18 Nov 2021,whole,65,,6500000
,2,1148,25,Rice,B,8 Nov 2021,16 Nov 2021,whole,"10,000",47,18 Nov 2021,whole,47,,4700000
,2,1148,25,Rice,C,8 Nov 2021,16 Nov 2021,whole,"10,000",28,18 Nov 2021,whole,28,,2800000
,2,1148,50,Rice,A,8 Nov 2021,16 Nov 2021,whole,"10,000",29,18 Nov 2021,whole,29,,2900000
,2,1148,50,Rice,B,8 Nov 2021,16 Nov 2021,whole,"10,000",55,18 Nov 2021,whole,56,,5600000
,2,1148,50,Rice,C,8 Nov 2021,16 Nov 2021,whole,"10,000",25,18 Nov 2021,whole,25,,2500000
,1,1392,150,Xenic,A,9 Nov 2021,16 Nov 2021,whole,"1,000",200,18 Nov 2021,whole,203,replated,2030000
,1,1392,150,Xenic,B,9 Nov 2021,16 Nov 2021,whole,"1,000",59,18 Nov 2021,whole,60,replated,600000
,1,1392,150,Xenic,C,9 Nov 2021,16 Nov 2021,whole,"1,000",71,18 Nov 2021,whole,72,replated,720000
,1,1392,150,Rice,A,9 Nov 2021,16 Nov 2021,whole,"10,000",384,18 Nov 2021,whole,394,replated,39400000
,1,1392,150,Rice,B,9 Nov 2021,16 Nov 2021,whole,"10,000",319,18 Nov 2021,whole,325,replated,32500000
,1,1392,150,Rice,C,9 Nov 2021,16 Nov 2021,whole,"10,000",264,18 Nov 2021,whole,277,replated,27700000
,1,1392,25,Xenic,A,9 Nov 2021,16 Nov 2021,whole,"1,000",97,18 Nov 2021,whole,101,replated,1010000
,1,1392,25,Xenic,B,9 Nov 2021,16 Nov 2021,whole,"1,000",100,18 Nov 2021,whole,103,replated,1030000
,1,1392,25,Xenic,C,9 Nov 2021,16 Nov 2021,whole,"1,000",105,18 Nov 2021,whole,110,replated,1100000
,1,1392,25,Rice,A,9 Nov 2021,16 Nov 2021,whole,"10,000",189,18 Nov 2021,whole,191,replated,19100000
,1,1392,25,Rice,B,9 Nov 2021,16 Nov 2021,whole,"10,000",368,18 Nov 2021,whole,394,replated,39400000
,1,1392,25,Rice,C,9 Nov 2021,16 Nov 2021,whole,"10,000",180,18 Nov 2021,whole,186,replated,18600000
,1,590,25,Xenic,A,9 Nov 2021,16 Nov 2021,whole,"1,000",221,18 Nov 2021,whole,223,replated,2230000
,1,590,25,Xenic,B,9 Nov 2021,16 Nov 2021,whole,"1,000",249,18 Nov 2021,whole,250,replated,2500000
,1,590,25,Xenic,C,9 Nov 2021,16 Nov 2021,whole,"1,000",285,18 Nov 2021,whole,289,replated,2890000
,1,590,25,Rice,A,9 Nov 2021,16 Nov 2021,whole,"10,000",264,18 Nov 2021,whole,266,replated,26600000
,1,590,25,Rice,B,9 Nov 2021,16 Nov 2021,whole,"10,000",436,18 Nov 2021,whole,441,replated,44100000
,1,590,25,Rice,C,9 Nov 2021,16 Nov 2021,whole,"10,000",208,18 Nov 2021,whole,210,replated,21000000
,2,1148,75,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",32,,,,,3200000
,2,1148,75,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",31,,,,,3100000
,2,1148,75,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",25,,,,,2500000
,2,1148,100,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",36,,,,,3600000
,2,1148,100,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",21,,,,,2100000
,2,1148,100,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",18,,,,,1800000
,2,1150,100,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",72,,,,,7200000
,2,1150,100,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",62,,,,,6200000
,2,1150,100,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",127,,,,,12700000
,2,1150,150,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",43,,,,,4300000
,2,1150,150,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",34,,,,,3400000
,2,1150,150,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",158,,,,,15800000
,2,1150,200,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",73,,,,,7300000
,2,1150,200,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",17,,,,,1700000
,2,1150,200,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",36,,,,,3600000
,2,1150,75,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",59,,,,,5900000
,2,1150,75,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",30,,,,,3000000
,2,1150,75,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",56,,,,,5600000
,2,1150,50,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",74,,,,,7400000
,2,1150,50,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",101,,,,,10100000
,2,1150,50,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",65,,,,,6500000
,2,1150,25,Rice,A,10 Nov 2021,17 Nov 2021,whole,"10,000",55,,,,,5500000
,2,1150,25,Rice,B,10 Nov 2021,17 Nov 2021,whole,"10,000",1334,,,,,133400000
,2,1150,25,Rice,C,10 Nov 2021,17 Nov 2021,whole,"10,000",77,,,,,7700000
,1,1392,25,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",196,,,,,1960000
,1,1392,25,Xenic,B,11 Nov 2021,18 Nov 2021,whole,"1,000",125,,,,,1250000
,1,1392,25,Xenic,C,11 Nov 2021,18 Nov 2021,whole,"1,000",158,,,,,1580000
,1,590,25,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",372,,,,,3720000
,1,590,25,Xenic,B,11 Nov 2021,18 Nov 2021,whole,"1,000",243,,,,,2430000
,1,590,25,Xenic,C,11 Nov 2021,18 Nov 2021,whole,"1,000",438,,,,,4380000
,2,1148,200,Rice,A,11 Nov 2021,18 Nov 2021,whole,"10,000",457,,,,,45700000
,2,1148,200,Rice,B,11 Nov 2021,18 Nov 2021,whole,"10,000",44,,,,,4400000
,2,1148,200,Rice,C,11 Nov 2021,18 Nov 2021,whole,"10,000",25,,,,,2500000
,2,1148,150,Rice,A,11 Nov 2021,18 Nov 2021,whole,"10,000",9,,,,,900000
,2,1148,150,Rice,B,11 Nov 2021,18 Nov 2021,whole,"10,000",107,,,,,10700000
,2,1148,150,Rice,C,11 Nov 2021,18 Nov 2021,whole,"10,000",25,,,,,2500000
,1,1392,75,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",174,,,,,1740000
,1,1392,75,Xenic,B,11 Nov 2021,18 Nov 2021,whole,"1,000",284,,,,,2840000
,1,1392,75,Xenic,C,11 Nov 2021,18 Nov 2021,whole,"1,000",140,,,,,1400000
,1,590,75,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",99,,,,,990000
,1,590,75,Xenic,B,11 Nov 2021,18 Nov 2021,whole,"1,000",116,,,,,1160000
,1,590,75,Xenic,C,11 Nov 2021,18 Nov 2021,whole,"1,000",182,,,,,1820000
,1,590,150,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",112,,,,,1120000
,1,590,150,Xenic,B,11 Nov 2021,18 Nov 2021,whole,"1,000",146,,,,,1460000
,1,590,150,Xenic,C,11 Nov 2021,18 Nov 2021,whole,"1,000",154,,,,,1540000
,1,1392,150,Xenic,A,11 Nov 2021,18 Nov 2021,whole,"1,000",84,,,,,840000
